title,url
"3 bedroom terraced house to rent in Trinity Hall Close, Watford, WD24, WD24",http://www.rightmove.co.uk/property-to-rent/property-46836852.html
"3 bedroom semi-detached house to rent in Westfield Avenue, Watford, WD24",http://www.rightmove.co.uk/property-to-rent/property-46662693.html
"SPACIOUS REDECORATED THREE BED HOUSE- GARDENS & OFF STREET PARKING- WATFORD BUSHEY NEAR STATIONS | in Watford, Hertfordshire | Gumtree",https://www.gumtree.com/p/3-bedrooms-rent/spacious-redecorated-three-bed-house-gardens-off-street-parking-watford-bushey-near-stations/1216734991
"3 bedroom house to rent in Andrew Reed Court, Keele Close, Watford, Hertfordshire, WD24 , WD24",http://www.rightmove.co.uk/property-to-rent/property-46743792.html
"3 bedroom apartment to rent in Queens Road, Watford, Hertfordshire, WD17",http://www.rightmove.co.uk/property-to-rent/property-46522608.html
"3 bedroom flat in Market Street, Watford, WD18 (3 bed) | in Watford, Hertfordshire | Gumtree",https://www.gumtree.com/p/3-bedrooms-rent/3-bedroom-flat-in-market-street-watford-wd18-3-bed-/1213204179
"3 bed House | in Watford, Hertfordshire | Gumtree",https://www.gumtree.com/p/3-bedrooms-rent/3-bed-house/1215020089
"3 bed flat Ovaltine, modern, spacious, close to overground station, 3rd floor, Juliette balcony. | in Kings Langley, Hertfordshire | Gumtree",https://www.gumtree.com/p/3-bedrooms-rent/3-bed-flat-ovaltine-modern-spacious-close-to-overground-station-3rd-floor-juliette-balcony./1214469124
"3 bed family house & garage, off village high street & near to shops, station, canal walks | in Kings Langley, Hertfordshire | Gumtree",https://www.gumtree.com/p/3-bedrooms-rent/3-bed-family-house-garage-off-village-high-street-near-to-shops-station-canal-walks/1211776567
"3 Bed House Bushey Watford. | in Bushey, Hertfordshire | Gumtree",https://www.gumtree.com/p/3-bedrooms-rent/3-bed-house-bushey-watford./1214212856
"3 bedroom flat to rent in Ovaltine Court, Kings Langley, WD4, WD4",http://www.rightmove.co.uk/property-to-rent/property-63976400.html
"3 bedroom terraced house to rent in Tooveys Mill Close, Kings Langley, WD4, WD4",http://www.rightmove.co.uk/property-to-rent/property-57941929.html
"3 bedroom semi-detached house to rent in Brixton Road, Watford, Herts, WD24, WD24",http://www.rightmove.co.uk/property-to-rent/property-58115725.html
"3 bedroom maisonette to rent in Highlands, WD19",http://www.rightmove.co.uk/property-to-rent/property-58069393.html
"3 bedroom apartment to rent in Hempstead Road, Watford, Hertfordshire, WD17 , WD17",http://www.rightmove.co.uk/property-to-rent/property-64593572.html
"3 bedroom flat to rent in Highfield Court, Bushey, WD23",http://www.rightmove.co.uk/property-to-rent/property-46642707.html
"3 bedroom flat to rent in Queens Road, WATFORD, Hertfordshire, WD17",http://www.rightmove.co.uk/property-to-rent/property-45141786.html
"3 bedroom terraced house to rent in Hayling Road, Watford, Hertfordshire WD19 7BW, WD19",http://www.rightmove.co.uk/property-to-rent/property-64553861.html
"3 bedroom terraced house to rent in Yarmouth Road, WATFORD, Hertfordshire, WD24",http://www.rightmove.co.uk/property-to-rent/property-46749120.html
"3 bedroom maisonette to rent in Bromet Close,Watford,WD17, WD17",http://www.rightmove.co.uk/property-to-rent/property-24748592.html
"3 bedroom apartment to rent in Upton Road, Watford, Hertfordshire, WD18 , WD18",http://www.rightmove.co.uk/property-to-rent/property-46175232.html
